Semester	Courses
Fall_1931	6
Fall_1932	3
Fall_1933	6
Fall_1939	1
Fall_1941	1
Fall_1945	4
Fall_1946	9
Fall_1947	9
Fall_1948	9
Fall_1949	15
Fall_1950	22
Fall_1951	35
Fall_1952	10
Fall_1953	10
Fall_1954	24
Fall_1955	56
Fall_1956	36
Fall_1957	72
Fall_1958	38
Fall_1959	25
Fall_1960	52
Fall_1961	66
Fall_1962	37
Fall_1963	28
Fall_1964	47
Fall_1965	57
Fall_1966	102
Fall_1967	214
Fall_1968	155
Fall_1969	168
Fall_1970	108
Fall_1971	164
Fall_1972	159
Fall_1973	74
Fall_1974	151
Fall_1975	107
Fall_1976	158
Fall_1977	163
Fall_1978	49
Fall_1979	8
Fall_1980	71
Fall_1981	8
Fall_1982	245
Fall_1983	151
Fall_1984	151
Fall_1985	169
Fall_1986	10
Fall_1987	178
Fall_1988	32
Fall_1989	166
Fall_1990	21
Fall_1991	187
Fall_1992	22
Fall_1993	2
Fall_1994	8
Fall_1995	14
Fall_1996	4
Fall_1997	5
Fall_1998	7
Fall_1999	9
Fall_2000	3
Fall_2001	2
Fall_2002	3
Fall_2003	2
Fall_2004	4
Fall_2005	1
Fall_2006	7
Fall_2007	1
Fall_2008	2
Fall_2009	3
Fall_2010	1
Fall_2011	6
Fall_2012	1
Fall_2013	2
Fall_2014	5
Fall_2015	9
Fall_2016	5
Spring_1914	1
Spring_1932	6
Spring_1933	6
Spring_1934	6
Spring_1942	1
Spring_1946	1
Spring_1947	8
Spring_1948	14
Spring_1949	4
Spring_1950	15
Spring_1951	23
Spring_1952	44
Spring_1953	27
Spring_1954	18
Spring_1955	10
Spring_1956	53
Spring_1957	53
Spring_1958	20
Spring_1959	56
Spring_1960	100
Spring_1961	20
Spring_1962	39
Spring_1963	47
Spring_1964	61
Spring_1965	9
Spring_1966	51
Spring_1967	55
Spring_1968	169
Spring_1969	180
Spring_1970	173
Spring_1971	120
Spring_1972	155
Spring_1973	129
Spring_1974	41
Spring_1975	181
Spring_1976	299
Spring_1977	110
Spring_1978	86
Spring_1979	391
Spring_1980	225
Spring_1981	362
Spring_1982	26
Spring_1983	266
Spring_1984	31
Spring_1985	125
Spring_1986	13
Spring_1987	80
Spring_1988	71
Spring_1989	46
Spring_1990	50
Spring_1991	93
Spring_1992	141
Spring_1993	39
Spring_1994	2
Spring_1995	5
Spring_1996	3
Spring_1997	3
Spring_1998	32
Spring_1999	3
Spring_2000	8
Spring_2001	6
Spring_2002	11
Spring_2003	2
Spring_2004	6
Spring_2005	3
Spring_2006	4
Spring_2007	1
Spring_2008	4
Spring_2009	5
Spring_2010	3
Spring_2011	1
Spring_2012	3
Spring_2013	2
Spring_2014	3
Spring_2015	5
Spring_2016	4
Summer_1946	8
Summer_1947	12
Summer_1948	9
Summer_1949	11
Summer_1950	12
Summer_1951	8
Summer_1952	7
Summer_1953	7
Summer_1954	10
Summer_1955	7
Summer_1956	20
Summer_1957	15
Summer_1958	11
Summer_1959	11
Summer_1960	25
Summer_1961	48
Summer_1962	35
Summer_1963	48
Summer_1964	91
Summer_1965	63
Summer_1966	125
Summer_1967	5
Summer_1968	44
Summer_1969	11
Summer_1970	99
Summer_1971	230
Summer_1972	74
Summer_1973	99
Summer_1974	120
Summer_1975	79
Summer_1976	142
Summer_1977	77
Summer_1978	73
Summer_1979	30
Summer_1980	48
Summer_1981	73
Summer_1982	96
Summer_1983	90
Summer_1984	11
Summer_1985	32
Summer_1986	90
Summer_1987	80
Summer_1988	89
Summer_1989	79
Summer_1990	89
Summer_1991	67
Summer_1992	58
Summer_1993	53
Summer_1994	3
Summer_1995	7
Summer_1996	16
Summer_1997	4
Summer_1998	16
Summer_1999	31
Summer_2000	8
Summer_2001	15
Summer_2002	7
Summer_2003	22
Summer_2004	6
Summer_2005	1
Summer_2006	3
Summer_2007	6
Summer_2008	11
Summer_2009	2
Summer_2010	3
Summer_2011	1
Summer_2012	1
Summer_2013	6
Summer_2014	3
Summer_2015	1
Summer_2016	5
Winter_2014	2
Winter_2015	7
Winter_2016	9
Winter_2017	7
