Semester	Enrollment
Fall_1931	6
Fall_1932	3
Fall_1933	6
Fall_1939	1
Fall_1941	1
Fall_1945	15
Fall_1946	15
Fall_1947	27
Fall_1948	23
Fall_1949	15
Fall_1950	24
Fall_1951	48
Fall_1952	45
Fall_1953	58
Fall_1954	46
Fall_1955	79
Fall_1956	75
Fall_1957	97
Fall_1958	85
Fall_1959	165
Fall_1960	239
Fall_1961	303
Fall_1962	375
Fall_1963	648
Fall_1964	812
Fall_1965	1043
Fall_1966	1127
Fall_1967	1224
Fall_1968	1518
Fall_1969	1584
Fall_1970	1957
Fall_1971	2112
Fall_1972	2484
Fall_1973	2735
Fall_1974	3003
Fall_1975	3387
Fall_1976	3335
Fall_1977	3777
Fall_1978	4297
Fall_1979	5068
Fall_1980	5965
Fall_1981	6664
Fall_1982	7296
Fall_1983	8634
Fall_1984	11459
Fall_1985	13679
Fall_1986	17384
Fall_1987	21430
Fall_1988	28978
Fall_1989	38402
Fall_1990	53947
Fall_1991	70861
Fall_1992	95109
Fall_1993	121262
Fall_1994	118430
Fall_1995	119438
Fall_1996	117392
Fall_1997	116791
Fall_1998	120033
Fall_1999	126995
Fall_2000	131969
Fall_2001	135673
Fall_2002	138157
Fall_2003	145259
Fall_2004	147013
Fall_2005	147322
Fall_2006	152541
Fall_2007	154312
Fall_2008	156458
Fall_2009	160968
Fall_2010	161970
Fall_2011	162570
Fall_2012	167029
Fall_2013	173648
Fall_2014	173431
Fall_2015	174719
Fall_2016	0
Spring_1914	0
Spring_1932	6
Spring_1933	6
Spring_1934	6
Spring_1942	1
Spring_1946	6
Spring_1947	19
Spring_1948	20
Spring_1949	22
Spring_1950	15
Spring_1951	23
Spring_1952	52
Spring_1953	43
Spring_1954	56
Spring_1955	54
Spring_1956	77
Spring_1957	61
Spring_1958	101
Spring_1959	92
Spring_1960	169
Spring_1961	258
Spring_1962	334
Spring_1963	373
Spring_1964	657
Spring_1965	834
Spring_1966	998
Spring_1967	1072
Spring_1968	1180
Spring_1969	1557
Spring_1970	1604
Spring_1971	1731
Spring_1972	2227
Spring_1973	2325
Spring_1974	2640
Spring_1975	2918
Spring_1976	3110
Spring_1977	3176
Spring_1978	3629
Spring_1979	4051
Spring_1980	4761
Spring_1981	5568
Spring_1982	6445
Spring_1983	7280
Spring_1984	9074
Spring_1985	10785
Spring_1986	13098
Spring_1987	16598
Spring_1988	21473
Spring_1989	28622
Spring_1990	38667
Spring_1991	54204
Spring_1992	72627
Spring_1993	98247
Spring_1994	114440
Spring_1995	112369
Spring_1996	110560
Spring_1997	109181
Spring_1998	107589
Spring_1999	109684
Spring_2000	118193
Spring_2001	122080
Spring_2002	127886
Spring_2003	109665
Spring_2004	135121
Spring_2005	137628
Spring_2006	138569
Spring_2007	142093
Spring_2008	144587
Spring_2009	146804
Spring_2010	57530
Spring_2011	150599
Spring_2012	150917
Spring_2013	156703
Spring_2014	160788
Spring_2015	160223
Spring_2016	160722
Summer_1946	8
Summer_1947	12
Summer_1948	11
Summer_1949	11
Summer_1950	12
Summer_1951	8
Summer_1952	7
Summer_1953	8
Summer_1954	10
Summer_1955	8
Summer_1956	23
Summer_1957	15
Summer_1958	12
Summer_1959	12
Summer_1960	28
Summer_1961	58
Summer_1962	81
Summer_1963	116
Summer_1964	260
Summer_1965	325
Summer_1966	366
Summer_1967	443
Summer_1968	472
Summer_1969	644
Summer_1970	770
Summer_1971	673
Summer_1972	650
Summer_1973	737
Summer_1974	701
Summer_1975	809
Summer_1976	809
Summer_1977	672
Summer_1978	767
Summer_1979	822
Summer_1980	902
Summer_1981	1058
Summer_1982	1160
Summer_1983	1398
Summer_1984	1487
Summer_1985	1573
Summer_1986	2011
Summer_1987	2411
Summer_1988	3218
Summer_1989	3807
Summer_1990	5113
Summer_1991	6417
Summer_1992	8068
Summer_1993	10259
Summer_1994	11967
Summer_1995	11506
Summer_1996	10254
Summer_1997	10662
Summer_1998	10256
Summer_1999	10582
Summer_2000	12061
Summer_2001	12555
Summer_2002	13308
Summer_2003	14553
Summer_2004	14454
Summer_2005	14132
Summer_2006	14320
Summer_2007	13961
Summer_2008	14778
Summer_2009	15759
Summer_2010	18915
Summer_2011	21731
Summer_2012	22875
Summer_2013	22981
Summer_2014	21323
Summer_2015	21254
Summer_2016	3065
Winter_2014	1593
Winter_2015	2299
Winter_2016	2794
Winter_2017	0
